Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,3+,31600,0.1
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,1,158000,0.5
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,2,126400,0.4
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,3,31600,0.1
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Isiolo,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,all,316000,1.0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,3+,47400,0.15
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,1,142200,0.45
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,2,126400,0.4
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,3,47400,0.15
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Isiolo,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,all,1577000,1.0
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,3+,78850,0.05
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,1,1182750,0.75
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,2,315400,0.2
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,3,78850,0.05
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Kilifi,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,all,1577000,1.0
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,3+,78850,0.05
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,1,1103900,0.7
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,2,394250,0.25
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,3,78850,0.05
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Kilifi,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,all,1042000,1.0
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,3+,52100,0.05
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,1,677300,0.65
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,2,312600,0.3
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,3,52100,0.05
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Makueni,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,all,1042000,1.0
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,3+,104200,0.1
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,1,573100,0.55
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,2,364700,0.35
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,3,104200,0.1
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Makueni,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,all,561000,1.0
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,3+,28050,0.05
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,1,224400,0.4
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,2,308550,0.55
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,3,28050,0.05
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Laikipia,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,all,561000,1.0
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,3+,28050,0.05
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,1,280500,0.5
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,2,252450,0.45
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,3,28050,0.05
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Laikipia,first projection,2025-10-01,2026-01-31,5,0,0
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,all,944000,1.0
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,3+,94400,0.1
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,1,519200,0.55
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,2,330400,0.35
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,3,94400,0.1
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,4,0,0
Jul 2025,KEN,16617000,Others,Kwale,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,all,944000,1.0
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,3+,94400,0.1
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,1,424800,0.45
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,2,424800,0.45
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,3,94400,0.1
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,4,0,0
Jul 2025,KEN,16617000,Others,Kwale,first projection,2025-10-01,2026-01-31,5,0,0
