Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2024,KEN,16617000,Others,Makueni,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,all,1042000,1.0
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,3+,104200,0.1
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,1,416800,0.4
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,2,521000,0.5
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,3,104200,0.1
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Makueni,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,all,561000,1.0
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,3+,56100,0.1
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,1,280500,0.5
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,2,224400,0.4
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,3,56100,0.1
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Laikipia,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,all,561000,1.0
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,3+,28050,0.05
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,1,336600,0.6
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,2,196350,0.35
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,3,28050,0.05
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Laikipia,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,all,944000,1.0
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,3+,141600,0.15
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,1,472000,0.5
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,2,330400,0.35
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,3,94400,0.1
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,4,47200,0.05
Feb 2024,KEN,16617000,Others,Kwale,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,all,944000,1.0
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,3+,47200,0.05
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,1,519200,0.55
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,2,377600,0.4
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,3,47200,0.05
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Kwale,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,all,959000,1.0
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,3+,191800,0.2
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,1,335650,0.35
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,2,431550,0.45
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,3,143850,0.15
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,4,47950,0.05
Feb 2024,KEN,16617000,Others,Mandera,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,all,959000,1.0
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,3+,143850,0.15
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,1,383600,0.4
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,2,431550,0.45
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,3,143850,0.15
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Mandera,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,all,353000,1.0
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,3+,52950,0.15
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,1,176500,0.5
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,2,123550,0.35
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,3,52950,0.15
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,TANA RIVER,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,all,353000,1.0
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,3+,35300,0.1
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,1,194150,0.55
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,2,123550,0.35
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,3,35300,0.1
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,TANA RIVER,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,all,364000,1.0
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,3+,0,0
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,1,327600,0.9
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,2,36400,0.1
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,3,0,0
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Taita,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,all,364000,1.0
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,3+,0,0
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,1,345800,0.95
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,2,18200,0.05
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,3,0,0
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Taita,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,all,178000,1.0
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,3+,8900,0.05
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,1,142400,0.8
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,2,26700,0.15
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,3,8900,0.05
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Tharaka,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,all,178000,1.0
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,3+,0,0
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,1,142400,0.8
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,2,35600,0.2
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,3,0,0
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Tharaka,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,all,676000,1.0
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,3+,0,0
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,1,574600,0.85
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,2,101400,0.15
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,3,0,0
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,West pokot,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,all,676000,1.0
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,3+,0,0
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,1,608400,0.9
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,2,67600,0.1
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,3,0,0
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,West pokot,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,all,871000,1.0
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,3+,174200,0.2
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,1,217750,0.25
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,2,479050,0.55
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,3,130650,0.15
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,4,43550,0.05
Feb 2024,KEN,16617000,Others,Wajir,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,all,871000,1.0
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,3+,130650,0.15
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,1,217750,0.25
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,2,522600,0.6
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,3,130650,0.15
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Wajir,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,all,1284000,1.0
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,3+,64200,0.05
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,1,1091400,0.85
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,2,128400,0.1
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,3,64200,0.05
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Narok,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,all,1284000,1.0
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,3+,64200,0.05
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,1,1091400,0.85
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,2,128400,0.1
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,3,64200,0.05
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Narok,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,all,927000,1.0
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,3+,185400,0.2
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,1,324450,0.35
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,2,417150,0.45
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,3,185400,0.2
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Garissa,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,all,927000,1.0
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,3+,139050,0.15
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,1,370800,0.4
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,2,417150,0.45
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,3,139050,0.15
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Garissa,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,all,1268000,1.0
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,3+,63400,0.05
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,1,760800,0.6
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,2,443800,0.35
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,3,63400,0.05
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Kajiado,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,all,1268000,1.0
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,3+,63400,0.05
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,1,887600,0.7
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,2,317000,0.25
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,3,63400,0.05
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Kajiado,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,all,1230000,1.0
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,3+,0,0
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,1,984000,0.8
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,2,246000,0.2
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,3,0,0
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Kitui,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,all,1230000,1.0
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,3+,0,0
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,1,922500,0.75
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,2,307500,0.25
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,3,0,0
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Kitui,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,all,167000,1.0
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,3+,16700,0.1
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,1,58450,0.35
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,2,91850,0.55
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,3,16700,0.1
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Lamu county,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,all,167000,1.0
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,3+,8350,0.05
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,1,75150,0.45
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,2,83500,0.5
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,3,8350,0.05
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Lamu county,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,all,1023000,1.0
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,3+,306900,0.3
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,1,306900,0.3
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,2,409200,0.4
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,3,204600,0.2
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,4,102300,0.1
Feb 2024,KEN,16617000,Others,Turkana,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,all,1023000,1.0
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,3+,153450,0.15
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,1,358050,0.35
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,2,511500,0.5
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,3,153450,0.15
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Turkana,first projection,2024-04-01,2024-06-30,5,0,0
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,all,205000,1.0
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,3+,10250,0.05
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,1,153750,0.75
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,2,41000,0.2
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,3,10250,0.05
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,4,0,0
Feb 2024,KEN,16617000,Others,Nyeri,current,2024-02-01,2024-03-31,5,0,0
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,all,205000,1.0
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,3+,10250,0.05
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,1,164000,0.8
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,2,30750,0.15
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,3,10250,0.05
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,4,0,0
Feb 2024,KEN,16617000,Others,Nyeri,first projection,2024-04-01,2024-06-30,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,all,515000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,3+,206000,0.4
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,1,128750,0.25
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,2,180250,0.35
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,3,128750,0.25
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,4,77250,0.15
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,current,2023-07-01,2023-09-30,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,all,515000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,3+,154500,0.3
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,1,154500,0.3
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,2,206000,0.4
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,3,128750,0.25
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,4,25750,0.05
Jul 2023,KEN,16617000,ASAL Counties,Marsabit,first projection,2023-10-01,2024-01-31,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,all,733000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,3+,109950,0.15
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,1,366500,0.5
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,2,256550,0.35
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,3,73300,0.1
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,4,36650,0.05
Jul 2023,KEN,16617000,ASAL Counties,Baringo,current,2023-07-01,2023-09-30,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,all,733000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,3+,36650,0.05
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,1,366500,0.5
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,2,329850,0.45
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,3,36650,0.05
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,4,0,0
Jul 2023,KEN,16617000,ASAL Counties,Baringo,first projection,2023-10-01,2024-01-31,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,all,281000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,3+,14050,0.05
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,1,196700,0.7
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,2,70250,0.25
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,3,14050,0.05
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,4,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,current,2023-07-01,2023-09-30,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,all,281000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,3+,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,1,182650,0.65
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,2,98350,0.35
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,3,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,4,0,0
Jul 2023,KEN,16617000,ASAL Counties,Embu,first projection,2023-10-01,2024-01-31,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,all,795000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,3+,79500,0.1
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,1,397500,0.5
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,2,318000,0.4
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,3,79500,0.1
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,4,0,0
Jul 2023,KEN,16617000,ASAL Counties,Meru,current,2023-07-01,2023-09-30,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,all,795000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,3+,39750,0.05
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,1,318000,0.4
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,2,437250,0.55
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,3,39750,0.05
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,4,0,0
Jul 2023,KEN,16617000,ASAL Counties,Meru,first projection,2023-10-01,2024-01-31,5,0,0
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,all,316000,1.0
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,3+,79000,0.25
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,1,94800,0.3
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,2,142200,0.45
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,3,63200,0.2
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,4,15800,0.05
Jul 2023,KEN,16617000,ASAL Counties,Isiolo,current,2023-07-01,2023-09-30,5,0,0
